user_md5	post_id	post_type	post_date	likes	comments	ads_mode	politics_mode	pos_neg_mode	tags_dummy
b29524ce8b7d68292058bd2989a9b068	p/CQwLiA9MYTm/	image	2021-06-30	906	14	no	yes	party_yes_neg	0
e3709d249677e285f459ff923cb8eef2	p/CQwI9juFX_1/	image	2021-06-30	814	4	no	no	party_no	1
30d52d191d094d0c5999ed827021e8a5	p/CQwB0SirkVi/	image	2021-06-30	467	30	yes	no	party_no	1
b29524ce8b7d68292058bd2989a9b068	p/CQwAb1GMZK8/	image	2021-06-30	1713	68	no	yes	party_yes_neg	0
a47133133ee53a4550d03fb250b26f21	p/CQv8ISdon4O/	video	2021-06-30	596	26	no	no	party_no	0
b29524ce8b7d68292058bd2989a9b068	p/CQv4iJmsl-r/	image	2021-06-30	628	5	no	yes	party_yes_neg	0
b29524ce8b7d68292058bd2989a9b068	p/CQv4FUvMDmb/	image	2021-06-30	4533	40	no	yes	party_yes_neg	0
999ca23c12d60d2ffe616d20886ea3d5	tv/CQv2VRElZPp/	video	2021-06-30	923	16	yes	no	party_no	0
4305f7ad511de6ee2ba458c283177399	p/CQvzFalAgGV/	image	2021-06-30	1668	12	yes	no	party_no	1
4db79e097c0a133b2def2bf254f83dd9	p/CQvxSfJFyNT/	image	2021-06-30	1256	188	yes	no	party_no	1
a47133133ee53a4550d03fb250b26f21	p/CQvw1pMMo2X/	image	2021-06-30	461	10	no	no	party_no	0
1bae0eb586a07353cbae66acec390de1	p/CQvwhuZA0N9/	image	2021-06-30	48912	479	no	no	party_no	1
f9794eccdcb70857e906c191cd262179	p/CQvwgVADKod/	image	2021-06-30	122	1	no	no	party_no	0
29643a30042ea2c66083053117f14cf1	p/CQvuf9rArn8/	image	2021-06-30	5248	14	no	no	party_no	0
a47133133ee53a4550d03fb250b26f21	p/CQvtP4convv/	video	2021-06-30	893	10	no	no	party_no	0
b29524ce8b7d68292058bd2989a9b068	p/CQvsBxEMyPV/	image	2021-06-30	1792	22	no	yes	party_yes_pos	0
eca2f9b2c9316bd55ebfa59a772625f9	tv/CQvVQA4qxzq/	video	2021-06-30	15058	67	no	no	party_no	0
46bcd29bb252a121e323f3a2c91d9e9d	p/CQvlLzqsK8d/	image	2021-06-30	19894	240	no	yes	party_yes_neg	0
04efabf9ee38896016be90e0a36f0116	p/CQvlB3_jr2J/	image	2021-06-30	198	7	yes	no	party_no	0
a416141ea0939d3ed149f7a21887b1c4	p/CQvg5RLrB_C/	image	2021-06-30	936	15	yes	no	party_no	1
6d28c8b93351a8ccfdaf5b46065c129e	p/CQvXTT3MPYR/	image	2021-06-30	3297	91	no	yes	party_yes_neg	0
bbcfea1530c4aeb2f0a00e2f94064300	p/CQvTvG-jHw8/	image	2021-06-30	451	14	no	yes	party_yes_neg	0
9be5cad1827883c1d2fb55994d187dc7	p/CQvPrfpsbaO/	image	2021-06-30	3626	59	no	no	party_no	0
b29524ce8b7d68292058bd2989a9b068	p/CQvPLCKssvi/	image	2021-06-30	1988	109	no	yes	party_no	0
04c60c55696c64c0abe0c3fd65eac3a5	p/CQu9fexMAX3/	image	2021-06-30	0	32	yes	yes	party_no	1
95e1ccd5a31c56d6141fd6d5d61ab17a	p/CQu5wBGMNwi/	image	2021-06-30	6582	99	no	no	party_no	0
f33c10f173a676eedcf535592d3e6812	p/CQu3Cs3plp-/	image	2021-06-30	1046	29	no	no	party_no	1
44532d9df81f73c4cba293f99de2e3cf	p/CQt84CALFxS/	image	2021-06-29	12859	26	no	yes	party_no	1
04efabf9ee38896016be90e0a36f0116	p/CQxidpIjMz9/	image	2021-07-01	31	1	no	no	party_no	0
f33c10f173a676eedcf535592d3e6812	p/CQxgEw8JUWX/	image	2021-07-01	192	4	no	no	party_no	1
421ce1b028eee70a26e9962a2b31829d	p/CQwk7hGLhPT/	image	2021-06-30	7017	32	no	no	party_no	0
a47133133ee53a4550d03fb250b26f21	p/CQwdHrLsZQO/	image	2021-06-30	330	26	yes	no	party_no	1
0260d8d15a0c0c75ca4aad9479e7de61	p/CQwaGoJFf1s/	image	2021-06-30	1462	16	yes	no	party_no	0
15136c90730f355101755c7b7516e729	p/CQwXCBHMkTL/	image	2021-06-30	759	2	no	no	party_no	1
658c73b9d87f9c9168492328fd3a1a1e	p/CQwTJtrHBL3/	image	2021-06-30	168	5	yes	no	party_no	0
a51f9cc0b672c20636dba6bd665f0143	p/CQwS85cLSq2/	image	2021-06-30	52611	351	no	no	party_no	1
04efabf9ee38896016be90e0a36f0116	p/CQzO0vPDYjn/	image	2021-07-01	205	13	no	no	party_no	0
a51f9cc0b672c20636dba6bd665f0143	p/CQy8T35r1Sv/	image	2021-07-01	65844	231	no	no	party_no	1
e3b84111a8245e22e9034fc3a83b3a3b	p/CQy7XhuMwxF/	image	2021-07-01	16995	1156	no	no	party_no	0
50ae8a403ea23858fe2dce4149927d95	tv/CQy6ts4DtUW/	video	2021-07-01	5	0	no	no	party_no	0
